Created model with fresh parameters.
Num params: 344962
Number of params: 344962 (retreival took 1.876255 secs)
F1: 0.363661616162, EM: 0.37, for 100 samples
F1: 0.356817460317, EM: 0.37, for 100 samples
F1: 0.425555555556, EM: 0.41, for 100 samples
F1: 0.416222222222, EM: 0.42, for 100 samples
F1: 0.342485827898, EM: 0.33, for 100 samples
F1: 0.412651294904, EM: 0.38, for 100 samples
F1: 0.40646031746, EM: 0.38, for 100 samples
F1: 0.428388888889, EM: 0.41, for 100 samples
F1: 0.398471521942, EM: 0.38, for 100 samples
F1: 0.384732395707, EM: 0.39, for 100 samples
F1: 0.413880952381, EM: 0.41, for 100 samples
F1: 0.422645778198, EM: 0.42, for 100 samples
F1: 0.31895414673, EM: 0.33, for 100 samples
F1: 0.349523809524, EM: 0.35, for 100 samples
F1: 0.373380952381, EM: 0.37, for 100 samples
F1: 0.348707070707, EM: 0.37, for 100 samples
F1: 0.39132034632, EM: 0.39, for 100 samples
F1: 0.396918300654, EM: 0.38, for 100 samples
F1: 0.369793650794, EM: 0.36, for 100 samples
F1: 0.38670681975, EM: 0.4, for 100 samples
F1: 0.401199134199, EM: 0.4, for 100 samples
F1: 0.343351294904, EM: 0.36, for 100 samples
F1: 0.414404761905, EM: 0.4, for 100 samples
F1: 0.354400503291, EM: 0.37, for 100 samples
F1: 0.409404761905, EM: 0.42, for 100 samples
F1: 0.339079365079, EM: 0.36, for 100 samples
F1: 0.430515873016, EM: 0.4, for 100 samples
F1: 0.364500610501, EM: 0.38, for 100 samples
F1: 0.362380952381, EM: 0.35, for 100 samples
F1: 0.377322222222, EM: 0.36, for 100 samples
F1: 0.387380952381, EM: 0.39, for 100 samples
F1: 0.408012698413, EM: 0.39, for 100 samples
F1: 0.379380952381, EM: 0.37, for 100 samples
F1: 0.363343434343, EM: 0.36, for 100 samples
F1: 0.408325396825, EM: 0.39, for 100 samples
F1: 0.37287037037, EM: 0.34, for 100 samples
F1: 0.37341213376, EM: 0.38, for 100 samples
F1: 0.415472846108, EM: 0.38, for 100 samples
F1: 0.360238095238, EM: 0.35, for 100 samples
F1: 0.41740970141, EM: 0.39, for 100 samples
F1: 0.42593977591, EM: 0.42, for 100 samples
F1: 0.397919191919, EM: 0.4, for 100 samples
F1: 0.394682539683, EM: 0.36, for 100 samples
F1: 0.366859841912, EM: 0.4, for 100 samples
F1: 0.390412698413, EM: 0.39, for 100 samples
F1: 0.418007936508, EM: 0.4, for 100 samples
F1: 0.386222222222, EM: 0.38, for 100 samples
F1: 0.419502310555, EM: 0.39, for 100 samples
F1: 0.420301587302, EM: 0.38, for 100 samples
F1: 0.383166666667, EM: 0.42, for 100 samples
F1: 0.46496031746, EM: 0.44, for 100 samples
F1: 0.37280952381, EM: 0.38, for 100 samples
F1: 0.428185425685, EM: 0.42, for 100 samples
F1: 0.408171807724, EM: 0.39, for 100 samples
F1: 0.427560568087, EM: 0.39, for 100 samples
F1: 0.409912698413, EM: 0.39, for 100 samples
F1: 0.389375901876, EM: 0.37, for 100 samples
F1: 0.37054589372, EM: 0.39, for 100 samples
F1: 0.407071428571, EM: 0.4, for 100 samples
F1: 0.386111111111, EM: 0.43, for 100 samples
F1: 0.364523809524, EM: 0.39, for 100 samples
F1: 0.358803454715, EM: 0.36, for 100 samples
F1: 0.40526984127, EM: 0.39, for 100 samples
F1: 0.352804388422, EM: 0.36, for 100 samples
F1: 0.392002588914, EM: 0.37, for 100 samples
F1: 0.424088154102, EM: 0.42, for 100 samples
F1: 0.396071428571, EM: 0.38, for 100 samples
F1: 0.404799487474, EM: 0.42, for 100 samples
F1: 0.355357142857, EM: 0.34, for 100 samples
F1: 0.393833790224, EM: 0.39, for 100 samples
F1: 0.394318181818, EM: 0.4, for 100 samples
F1: 0.358601449275, EM: 0.38, for 100 samples
F1: 0.360833333333, EM: 0.36, for 100 samples
F1: 0.370707070707, EM: 0.35, for 100 samples
F1: 0.362023809524, EM: 0.37, for 100 samples
F1: 0.377562554659, EM: 0.38, for 100 samples
F1: 0.343564213564, EM: 0.32, for 100 samples
F1: 0.387436507937, EM: 0.37, for 100 samples
F1: 0.447857142857, EM: 0.44, for 100 samples
F1: 0.427792794581, EM: 0.39, for 100 samples
F1: 0.370357142857, EM: 0.37, for 100 samples
F1: 0.394818181818, EM: 0.4, for 100 samples
F1: 0.407738095238, EM: 0.39, for 100 samples
F1: 0.398305555556, EM: 0.43, for 100 samples
F1: 0.40746031746, EM: 0.39, for 100 samples
F1: 0.391976721573, EM: 0.42, for 100 samples
F1: 0.419603174603, EM: 0.38, for 100 samples
F1: 0.423333333333, EM: 0.44, for 100 samples
F1: 0.381598124098, EM: 0.36, for 100 samples
F1: 0.374, EM: 0.38, for 100 samples
F1: 0.390392156863, EM: 0.39, for 100 samples
F1: 0.390388888889, EM: 0.41, for 100 samples
F1: 0.381555555556, EM: 0.38, for 100 samples
F1: 0.411756056809, EM: 0.4, for 100 samples
F1: 0.379857142857, EM: 0.36, for 100 samples
F1: 0.387716374269, EM: 0.41, for 100 samples
F1: 0.368333333333, EM: 0.36, for 100 samples
F1: 0.421794982795, EM: 0.41, for 100 samples
F1: 0.387523809524, EM: 0.37, for 100 samples
F1: 0.379934628237, EM: 0.36, for 100 samples
F1: 0.40869047619, EM: 0.4, for 100 samples
F1: 0.407388888889, EM: 0.42, for 100 samples
F1: 0.41269047619, EM: 0.4, for 100 samples
F1: 0.383462406015, EM: 0.37, for 100 samples
F1: 0.433214285714, EM: 0.39, for 100 samples
F1: 0.367339803128, EM: 0.39, for 100 samples
F1: 0.447023809524, EM: 0.41, for 100 samples
F1: 0.384994152047, EM: 0.39, for 100 samples
